Code postal 2015	Libellé poste	Population 2012 desservie par le code postal	Population 2012 desservie par le code géo PMSI	Code géographique PMSI 2015	"* Mayotte et Polynésie Française Recensement quinquennal 2012/ Wallis et Futuna Recensement quinquennal 2013/ Nouvelle-Calédonie Recensement quinquennal 2009


"
01000	BOURG EN BRESSE	 45 675	 45 675	01000	
01090	MONTMERLE SUR SAONE	 8 899	 8 899	01090	
01100	OYONNAX	 33 572	 33 572	01100	
01110	HAUTEVILLE LOMPNES	 6 854	 6 854	01110	
01120	MONTLUEL	 18 009	 18 009	01120	
01130	NANTUA	 7 059	 7 059	01130	
01140	ST DIDIER SUR CHALARONNE	 8 532	 8 532	01140	
01150	LAGNIEU	 17 179	 17 179	01150	
01160	PONT D AIN	 9 492	 9 492	01160	
01170	GEX	 22 421	 22 421	01170	
01190	PONT DE VAUX	 9 992	 9 992	01190	
01200	BELLEGARDE SUR VALSERINE	 20 141	 20 141	01200	
01210	FERNEY VOLTAIRE	 15 014	 15 014	01210	
01220	DIVONNE LES BAINS	 10 464	 10 464	01220	
01230	ST RAMBERT EN BUGEY	 5 344	 5 344	01230	
01240	ST PAUL DE VARAX	 7 416	 7 416	01240	
01250	CEYZERIAT	 15 678	 15 678	01250	
01260	CHAMPAGNE EN VALROMEY	 3 419	 3 419	01260	
01270	COLIGNY	 3 876	 3 876	01270	
01280	PREVESSIN MOENS	 7 410	 7 410	01280	
01290	GRIEGES	 11 025	 11 025	01290	
01300	BELLEY	 20 018	 20 018	01300	
01310	POLLIAT	 9 458	 9 458	01310	
01320	CHALAMONT	 6 147	 6 147	01320	
01330	VILLARS LES DOMBES	 8 126	 8 126	01330	
01340	ATTIGNAT	 14 378	 14 378	01340	
01350	CULOZ	 6 240	 6 240	01350	
01360	BELIGNEUX	 9 738	 9 738	01360	
01370	ST ETIENNE DU BOIS	 7 508	 7 508	01370	
01380	BAGE LA VILLE	 7 674	 7 674	01380	
01390	ST ANDRE DE CORCY	 11 400	 11 400	01390	
01400	CHATILLON SUR CHALARONNE	 11 002	 11 002	01400	
01410	CHAMPFROMIER	 1 750	 1 750	01410	
01420	CORBONOD	 2 917	 2 917	01420	
01430	ST MARTIN DU FRENE	 4 137	 4 137	01430	
01440	VIRIAT	 6 160	 6 160	01440	
01450	PONCIN	 3 459	 3 459	01450	
01460	MONTREAL LA CLUSE	 6 802	 6 802	01460	
01470	SERRIERES DE BRIORD	 3 176	 3 176	01470	
01480	JASSANS RIOTTIER	 17 733	 17 733	01480	
01500	AMBERIEU EN BUGEY	 23 924	 23 924	01500	
01510	ARTEMARE	 4 108	 4 108	01510	
01540	VONNAS	 4 383	 4 383	01540	
01550	COLLONGES	 3 777	 3 777	01550	
01560	ST TRIVIER DE COURTES	 6 322	 6 322	01560	
01570	FEILLENS	 5 258	 5 258	01570	
01580	IZERNORE	 3 969	 3 969	01580	
01590	DORTAN	 2 756	 2 756	01590	
01600	TREVOUX	 21 909	 21 909	01600	
01630	ST GENIS POUILLY	 16 664	 16 664	01630	
01640	JUJURIEUX	 4 366	 4 366	01640	
01660	MEZERIAT	 3 724	 3 724	01660	
01680	LHUIS	 1 630	 1 630	01680	
01700	MIRIBEL	 20 025	 20 025	01700	
01710	THOIRY	 5 733	 5 733	01710	
01750	REPLONGES	 5 414	 5 414	01750	
01800	MEXIMIEUX	 20 390	 20 390	01800	
01851	MARBOZ	 2 208	 2 208	01851	
01960	PERONNAS	 8 405	 8 405	01960	
01990	ST TRIVIER SUR MOIGNANS	 3 668	 3 668	01990	
02000	LAON	 35 148	 35 148	02000	
02100	ST QUENTIN	 63 758	 63 758	02100	
02110	BOHAIN EN VERMANDOIS	 16 053	 16 053	02110	
02120	GUISE	 12 872	 12 872	02120	
02130	FERE EN TARDENOIS	 8 065	 8 065	02130	
02140	VERVINS	 10 133	 10 133	02140	
02150	SISSONNE	 2 834	 2 834	02150	
02160	BOURG ET COMIN	 7 195	 7 195	02160	
02170	LE NOUVION EN THIERACHE	 4 522	 4 522	02170	
02190	GUIGNICOURT	 7 838	 7 838	02190	
02200	SOISSONS	 47 608	 47 608	02200	
02210	COINCY	 7 157	 7 157	02210	
02220	BRAINE	 8 308	 8 308	02220	
02230	FRESNOY LE GRAND	 3 049	 3 049	02230	
02250	MARLE	 5 527	 5 527	02250	
02260	LA CAPELLE	 5 094	 5 094	02260	
02270	CRECY SUR SERRE	 8 359	 8 359	02270	
02290	VIC SUR AISNE	 8 069	 8 069	02290	
02300	CHAUNY	 27 956	 27 956	02300	
02310	CHARLY SUR MARNE	 10 986	 10 986	02310	
02320	ANIZY LE CHATEAU	 7 674	 7 674	02320	
02330	CONDE EN BRIE	 3 030	 3 030	02330	
02340	MONTCORNET	 4 807	 4 807	02340	
02350	LIESSE NOTRE DAME	 5 201	 5 201	02350	
02360	ROZOY SUR SERRE	 3 057	 3 057	02360	
02370	VAILLY SUR AISNE	 4 483	 4 483	02370	
02380	COUCY LE CHATEAU AUFFRIQUE	 2 934	 2 934	02380	
02390	ORIGNY STE BENOITE	 3 327	 3 327	02390	
02400	CHATEAU THIERRY	 29 025	 29 025	02400	
02410	ST GOBAIN	 2 577	 2 577	02410	
02420	LEHAUCOURT	 7 054	 7 054	02420	
02430	GAUCHY	 5 356	 5 356	02430	
02440	MONTESCOURT LIZEROLLES	 3 127	 3 127	02440	
02450	BOUE	 3 222	 3 222	02450	
