RPPS,Nom,Prenom,FINESS,RaisonSociale,Commune,LibCommune,CodePostal,Specialite,Etablissement
810100499945,GAIANI,GIULIA,,CABINET DU DR GIULIA GAIANI,33140,Créon,33670,Spécialiste en Médecine Générale,non
810100137396,WIELANEK-BACHELET,ANNE-CECILE,,CABINET DU DR ANNE-CECILE WIELANEK-BACHELET,33063,Bordeaux,33300,Neurologie,non
810002771227,SADOUN,FRANCK,,CABINET DU DR FRANCK SADOUN,33063,Bordeaux,33300,Spécialiste en Médecine Générale,non
810002759198,MOREAUD,PHILIPPE,,CABINET DU DR PHILIPPE MOREAUD,33318,Pessac,33600,Spécialiste en Médecine Générale,non
810100864486,BELLENGER,ELODIE,,CABINET DU DR ELODIE BELLENGER,33075,Bruges,33520,Spécialiste en Médecine Générale,non
810002775590,LATREYTE,PHILIPPE,,CABINET DU DR PHILIPPE LATREYTE,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810100615458,BIRABEN,FRANCK,,CABINET DU DR FRANCK BIRABEN,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810004620596,BENZINE,LAZHAR,,CABINET DU DR LAZHAR BENZINE,33249,Lormont,33310,Spécialiste en Médecine Générale,non
810002737012,PIERRON,YVES,,MSA GIRONDE,33063,Bordeaux,33052,Spécialiste en Médecine Générale,non
810004983044,LEWDEN,STEPHANE,,CABINET DU DR STEPHANE LEWDEN,33063,Bordeaux,33200,Spécialiste en Médecine Générale,non
810002684651,NICOLAS,CLAIRE,,CABINET DU DR CLAIRE NICOLAS,33233,Laruscade,33620,Spécialiste en Médecine Générale,non
810002742715,BERNARD,DOMINIQUE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810100202893,BERNIER,AURELIE,,CABINET DU DR AURELIE BERNIER,33318,Pessac,33600,Spécialiste en Médecine Générale,non
810002775731,MANDON,SOPHIE,,SERVICE DE SANTE AU TRAVAIL INTER ENTREPRISES,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002828860,FLAHARTY,DANIEL,,CABINET DU DR DANIEL FLAHARTY,33213,La Brède,33650,Spécialiste en Médecine Générale,non
810002777430,BERTHELOT-CALMELS,VALERIE,,CABINET DU DR VALERIE BERTHELOT-CALMELS,33281,Mérignac,33700,Spécialiste en Médecine Générale,non
810002756285,BALLION,JEAN-LUC,,CABINET DU DR JEAN-LUC BALLION,33243,Libourne,33500,Spécialiste en Médecine Générale,non
810001665685,THINNES,SANDRINE,,CABINET DU DR SANDRINE THINNES,33522,Talence,33400,Spécialiste en Médecine Générale,non
810002765906,MAUTRAS,ALBERT,,CABINET DU DR ALBERT MAUTRAS,33478,Saint-Seurin-sur-l'Isle,33660,Spécialiste en Médecine Générale,non
810004628441,MONGUILLOT,PASCALE,330781154,KORIAN LES GRANDS CHENES,33063,Bordeaux,33021,Spécialiste en Médecine Générale,oui
810100171874,PERRIN,LUC,330790114,CSAPA GENERALISTE M. SEURISE - CEID,33063,Bordeaux,33000,Spécialiste en Médecine Générale,oui
810100463081,AFONSO,MELANIE,,CABINET DU DR WILLIAM DURIEUX,33175,Frontenac,33760,Spécialiste en Médecine Générale,non
810100064640,JOINTREC,NICOLAS,,CABINET DU DR NICOLAS JOINTREC,33449,Saint-Médard-en-Jalles,33160,Spécialiste en Médecine Générale,non
810002770005,QUERAUX,FRANCOIS-YVES,,CABINET DU DR FRANCOIS-YVES QUERAUX,33366,Saint-André-de-Cubzac,33240,Spécialiste en Médecine Générale,non
810003945937,LOUISET,PIERRE,,SELARL DU DOCTEUR LOUISET,33240,Lesparre-Médoc,33340,Neurologie,non
810002766474,VIDAL,MARIE-FRANCOISE,,CABINET DU DR MARIE-FRANCOISE VIDAL,33449,Saint-Médard-en-Jalles,33160,Spécialiste en Médecine Générale,non
810100311801,PERGON,CEDRIC,,CABINET DU DR CEDRIC PERGON,33108,Castillon-la-Bataille,33350,Spécialiste en Médecine Générale,non
810004991484,LEYRAL,HERVE,,CABINET DU DR HERVE LEYRAL,33063,Bordeaux,33300,Spécialiste en Médecine Générale,non
810100706315,EVRARD,GREGOIRE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810101139334,BUSCAGLIA,LAURA,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810002751930,DARRIEUMERLOU,PHILIPPE,,CABINET DU DR PHILIPPE DARRIEUMERLOU,33311,Paillet,33550,Spécialiste en Médecine Générale,non
810002769338,VIGNES,JEAN-PIERRE,,CABINET DU DR JEAN-PIERRE VIGNES,33051,Biganos,33380,Spécialiste en Médecine Générale,non
810002758216,CASTERA,PHILIPPE,,CABINET DU DR PHILIPPE CASTERA,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810005169981,LOPEZ-GODBERT,ADELINE,,SELARL ANGIA,33249,Lormont,33310,Spécialiste en Médecine Générale,non
810100212645,LAZARE-MEYNIE,AURORE,,CABINET DU DR ERIC PEAN,33036,Bazas,33430,Spécialiste en Médecine Générale,non
810004023437,CESA,VINCENT,,CABINET DU DR VINCENT CESA,33202,Hostens,33125,Spécialiste en Médecine Générale,non
810100430338,DU CASTEL,MARIE,,CABINET DU DR ARNAUD BARON,33539,Vayres,33870,Spécialiste en Médecine Générale,non
810100492049,CHADOUTEAU,DELPHINE,,CABINET DU DR ERIC GRIMARD,33433,Saint-Loubès,33450,Spécialiste en Médecine Générale,non
810002762101,LAMENARDIE,ERIC,,CABINET DU DR ERIC LAMENARDIE,33039,Bègles,33130,Spécialiste en Médecine Générale,non
810100971273,THOMAS,BENJAMIN,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Neurologie,oui
810002827276,VOLLETTE,YVES,,CABINET DU DR YVES VOLLETTE,33268,Margaux,33460,Spécialiste en Médecine Générale,non
810002765963,DUCOS-KLINGEBIEL,SEVERINE,,CABINET DU DR SEVERINE DUCOS-KLINGEBIEL,33449,Saint-Médard-en-Jalles,33160,Spécialiste en Médecine Générale,non
810002778701,DRILLAUD,DENIS,330798273,EHPAD LA  CLAIRIERE DE BEL AIR,33200,Le Haillan,33185,Spécialiste en Médecine Générale,oui
810002937471,LE BRUN,THIERRY,330798661,EHPAD  RESIDENCE DE PYLA-SUR-MER,33529,La Teste-de-Buch,33115,Spécialiste en Médecine Générale,oui
810100786960,GRUNENWALD,JULIEN,,CABINET DU DR JULIEN GRUNENWALD,33219,La Lande-de-Fronsac,33240,Spécialiste en Médecine Générale,non
810002778198,HUMBERT,JEAN,,CABINET DU DR JEAN HUMBERT,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002769650,PETREGNE,FRANCOIS,,CABINET DU DR FRANCOIS PETREGNE,33192,Gradignan,33170,Spécialiste en Médecine Générale,non
810100407856,GUYOT,CAMILLE,,CABINET DU DR CAMILLE GUYOT,33104,Castelnau-de-Médoc,33480,Spécialiste en Médecine Générale,non
810002774601,BOULET,JEAN-MICHEL,,CABINET DU DR JEAN-MICHEL BOULET,33063,Bordeaux,33300,Spécialiste en Médecine Générale,non
810002815503,GAIDA,TSOURIA,330000555,CENTRE HOSPITALIER D'ARCACHON,33529,La Teste-de-Buch,33164,Neurologie,oui
810005226971,FAYOLLE,LUCAS,330000555,CENTRE HOSPITALIER D'ARCACHON,33529,La Teste-de-Buch,33164,Spécialiste en Médecine Générale,oui
810100311793,THEVENOT,FLORIAN,330789991,EFS AQLI - SITE PELLEGRIN 1,33063,Bordeaux,33035,Spécialiste en Médecine Générale,oui
810004974100,MARTIN,RONAN,,CABINET DU DR RONAN MARTIN,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002768595,CALCAGNI-DUNOGUES,ANNE,,CABINET DU DR ANNE CALCAGNI-DUNOGUES,33039,Bègles,33130,Spécialiste en Médecine Générale,non
810002084902,ROGER- GOUHIZOUN,VALERIE,,C P A  M GIRONDE,33063,Bordeaux,33030,Spécialiste en Médecine Générale,non
810004394325,GIROL,BRUNO,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810002765336,MANGIN,JEAN-RENE,,CABINET DU DR JEAN-RENE MANGIN,33225,Landiras,33720,Spécialiste en Médecine Générale,non
810002085107,TURBAN,NATHALIE,330803750,CENTRE DE SANTE DENTAIRE PELLEPORT,33063,Bordeaux,33079,Spécialiste en Médecine Générale,oui
810002509205,FRIOUX,MARC,,SERVICE DE PROTECTION MATERNELLE ET INFANTILE,33063,Bordeaux,33300,Spécialiste en Médecine Générale,non
810100838357,LOPES,JOHNNY,,CABINET DU DR JOHNNY LOPES,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810003135836,BOMMELAER,ALIX,,CABINET DU DR ALIX BOMMELAER,33199,Gujan-Mestras,33470,Spécialiste en Médecine Générale,non
810100548063,BECHEREAU,FRANCK,330780206,CLINIQUE D'ARCACHON,33529,La Teste-de-Buch,33164,Spécialiste en Médecine Générale,oui
810002760162,POUCHET,FRANCOIS,,CABINET DU DR FRANCOIS POUCHET,33527,Le Teich,33470,Spécialiste en Médecine Générale,non
810002771987,GAVOUT,PHILIPPE,,CABINET DU DR PHILIPPE GAVOUT,33281,Mérignac,33700,Spécialiste en Médecine Générale,non
810002823457,LABADIE-MONNIER,GEORGINE,,CABINET DU DR GEORGINE LABADIE-MONNIER,33550,Villenave-d'Ornon,33140,Spécialiste en Médecine Générale,non
