Appel	Event-Appel
Coma	Event-Symptome-SymptomeNeuro-Coma
Scanner	Event-Imagerie-Scanner
IRM	Event-Imagerie-IRM
Hemiplegie	Event-Symptome-SymptomeNeuro-Hemiplegie
Symptome	Event-Symptome
SymptomeNeuro	Event-Symptome-SymptomeNeuro
Imagerie	Event-Imagerie
TraitementMedicamenteux	Event-Traitement-TraitementMedicamenteux
SejourMCO	Event-SejourHospitalier-SejourMCO
TraitementThrombolytique	Event-Traitement-TraitementMedicamenteux-TraitementThrombolytique
Traitement	Event-Traitement
AppelCentre15	Event-Appel-AppelCentre15
SejourSSR	Event-SejourHospitalier-SejourSSR
Delivrance	Event-Delivrance
AppelPompier	Event-Appel-AppelPompier
Consultation	Event-Consultation
Aphasie	Event-Symptome-SymptomeNeuro-Aphasie
Deces	Event-Deces
SejourHospitalier	Event-SejourHospitalier
